salary,bonus,total_payments,total_stock_value,to_messages,from_this_person_to_poi,from_messages,from_poi_to_this_person,shared_receipt_with_poi,check from,check to,check shared,,
201955,4175000,4484442,1729541,2902,65,2195,47,1407,TRUE,TRUE,TRUE,0.484838043,0.016195727
0,0,182466,257817,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
477,0,916197,5243487,566,0,29,39,465,TRUE,TRUE,TRUE,0.82155477,0.068904594
267102,1200000,5634343,10623258,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
239671,400000,827696,63014,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
80818,0,860136,1599641,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
231330,700000,969068,126027,7315,386,4343,144,2639,TRUE,TRUE,TRUE,0.36076555,0.019685578
213999,5249999,5501630,1110705,7991,108,484,228,5521,TRUE,TRUE,TRUE,0.690902265,0.028532099
0,0,102500,-44093,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
216582,0,228474,2493616,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
187922,250000,618850,659249,383,0,59,4,233,TRUE,TRUE,TRUE,0.608355091,0.010443864
0,0,15456290,0,523,1,29,0,463,TRUE,TRUE,TRUE,0.885277247,0
213625,1000000,2047593,1843816,1607,8,40,23,1336,TRUE,TRUE,TRUE,0.831362788,0.014312383
248546,850000,2014835,954354,2475,2,14,25,2326,TRUE,TRUE,TRUE,0.93979798,0.01010101
0,0,1279,0,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
278601,1350000,2669589,252055,1858,15,27,140,1593,TRUE,TRUE,TRUE,0.85737352,0.075349839
0,0,49288,0,1486,1,41,13,761,TRUE,TRUE,TRUE,0.512113055,0.008748318
248017,500000,1054637,1014505,1088,0,125,0,23,TRUE,TRUE,TRUE,0.021139706,0
261516,750000,1271582,417619,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
330546,900000,2355702,3444470,3523,71,1053,156,2333,TRUE,TRUE,TRUE,0.662219699,0.044280443
240189,1250000,1639297,126027,2598,25,144,199,2188,TRUE,TRUE,TRUE,0.842186297,0.076597383
261809,300000,477557,0,312,7,15,29,196,TRUE,TRUE,TRUE,0.628205128,0.092948718
415189,1000000,1868758,2502063,1892,12,49,58,1585,TRUE,TRUE,TRUE,0.837737844,0.030655391
0,0,0,6077885,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
0,0,0,189518,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
288542,1200000,1490344,698242,1758,11,40,240,1132,TRUE,TRUE,TRUE,0.643913538,0.136518771
0,0,0,1038185,764,0,12,10,58,TRUE,TRUE,TRUE,0.07591623,0.013089005
314288,800000,1101393,495633,102,4,33,0,71,TRUE,TRUE,TRUE,0.696078431,0
184899,325000,807956,207940,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
206121,600000,1208649,159211,714,4,74,115,552,TRUE,TRUE,TRUE,0.773109244,0.161064426
365163,3000000,4747979,3614261,3093,609,3069,66,2097,TRUE,TRUE,TRUE,0.677982541,0.021338506
492375,800000,550981,8831913,2181,20,909,64,1401,TRUE,TRUE,TRUE,0.642365887,0.029344337
210500,425000,1204583,2027865,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
250100,600000,1410464,1865087,2572,14,63,305,1902,TRUE,TRUE,TRUE,0.739502333,0.118584759
262788,1000000,2368151,8317782,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
221003,70000,319941,0,176,3,14,10,114,TRUE,TRUE,TRUE,0.647727273,0.056818182
278601,800000,875760,1080988,865,11,22,188,772,TRUE,TRUE,TRUE,0.892485549,0.21734104
0,0,77492,371750,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
210692,750000,2093263,1640910,904,3,12,106,599,TRUE,TRUE,TRUE,0.662610619,0.117256637
182245,200000,2692324,1008941,0,0,0,0,0,TRUE,TRUE,TRUE,0,0
